==== Value feature statistics (timestamp: 1763434747, evaluations: 2958935) ====
Feature activation counts:
feature 4611: 38
feature 4613: 85
feature 4614: 1
feature 4619: 2960
feature 4620: 35612
feature 4621: 226
feature 4622: 54074
feature 4623: 29
feature 4624: 1169
feature 4625: 8
feature 4628: 37017
feature 4629: 8496
feature 4630: 488
feature 4631: 610
feature 4632: 2
feature 4633: 46
feature 4634: 15
feature 4637: 110
feature 4638: 24
feature 4639: 1260
feature 4640: 80
feature 4641: 1
feature 4646: 11082
feature 4647: 29727
feature 4648: 29336
feature 4649: 569
feature 4650: 13
feature 4651: 11
feature 4656: 11
feature 4661: 9
feature 4662: 12
feature 4668: 12087
feature 4669: 12904
feature 4670: 348
feature 4671: 38
feature 4672: 287
feature 4673: 3
feature 4678: 5972
feature 4679: 665
feature 4680: 2
feature 4681: 1280
feature 4682: 4
feature 4683: 422
feature 4685: 4
feature 4689: 76097
feature 4690: 367
feature 4691: 2625
feature 4692: 31901
feature 4693: 28
feature 4694: 4088
feature 4695: 11
feature 4696: 5
feature 4700: 2
feature 4701: 94398
feature 4702: 53687
feature 4703: 49424
feature 4704: 419
feature 4705: 202
feature 4706: 1
feature 4707: 2
feature 4711: 1042
feature 4712: 12321
feature 4713: 7172
feature 4714: 220
feature 4715: 184
feature 4716: 2
feature 4717: 1
feature 4721: 10920
feature 4722: 12609
feature 4723: 127
feature 4724: 1555
feature 4725: 324
